PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM OXIDE                                                          

Kinetic   Electron. Nuclear   
Energy    Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g 

1.000E-03 7.351E+01 1.578E+01 
1.500E-03 9.003E+01 1.378E+01 
2.000E-03 1.040E+02 1.231E+01 
2.500E-03 1.162E+02 1.118E+01 
3.000E-03 1.273E+02 1.027E+01 
4.000E-03 1.470E+02 8.900E+00 
5.000E-03 1.644E+02 7.900E+00 
6.000E-03 1.801E+02 7.131E+00 
7.000E-03 1.945E+02 6.518E+00 
8.000E-03 2.079E+02 6.016E+00 
9.000E-03 2.205E+02 5.595E+00 
1.000E-02 2.325E+02 5.237E+00 
1.250E-02 2.561E+02 4.534E+00 
1.500E-02 2.768E+02 4.015E+00 
1.750E-02 2.953E+02 3.614E+00 
2.000E-02 3.119E+02 3.294E+00 
2.250E-02 3.270E+02 3.031E+00 
2.500E-02 3.408E+02 2.811E+00 
2.750E-02 3.534E+02 2.624E+00 
3.000E-02 3.649E+02 2.462E+00 
3.500E-02 3.853E+02 2.198E+00 
4.000E-02 4.025E+02 1.989E+00 
4.500E-02 4.170E+02 1.819E+00 
5.000E-02 4.292E+02 1.679E+00 
5.500E-02 4.393E+02 1.560E+00 
6.000E-02 4.476E+02 1.459E+00 
6.500E-02 4.543E+02 1.371E+00 
7.000E-02 4.596E+02 1.293E+00 
7.500E-02 4.637E+02 1.225E+00 
8.000E-02 4.666E+02 1.164E+00 
8.500E-02 4.686E+02 1.110E+00 
9.000E-02 4.698E+02 1.061E+00 
9.500E-02 4.702E+02 1.016E+00 
1.000E-01 4.700E+02 9.751E-01 
1.250E-01 4.619E+02 8.148E-01 
1.500E-01 4.472E+02 7.026E-01 
1.750E-01 4.301E+02 6.193E-01 
2.000E-01 4.127E+02 5.548E-01 
2.250E-01 3.965E+02 5.032E-01 
2.500E-01 3.814E+02 4.610E-01 
2.750E-01 3.675E+02 4.258E-01 
3.000E-01 3.545E+02 3.959E-01 
3.500E-01 3.311E+02 3.478E-01 
4.000E-01 3.106E+02 3.107E-01 
4.500E-01 2.926E+02 2.812E-01 
5.000E-01 2.765E+02 2.571E-01 
5.500E-01 2.622E+02 2.371E-01 
6.000E-01 2.494E+02 2.201E-01 
6.500E-01 2.381E+02 2.055E-01 
7.000E-01 2.279E+02 1.928E-01 
7.500E-01 2.187E+02 1.817E-01 
8.000E-01 2.102E+02 1.719E-01 
8.500E-01 2.026E+02 1.631E-01 
9.000E-01 1.957E+02 1.552E-01 
9.500E-01 1.892E+02 1.480E-01 
1.000E+00 1.832E+02 1.416E-01 
1.250E+00 1.589E+02 1.165E-01 
1.500E+00 1.409E+02 9.923E-02 
1.750E+00 1.270E+02 8.658E-02 
2.000E+00 1.160E+02 7.691E-02 
2.250E+00 1.069E+02 6.926E-02 
2.500E+00 9.926E+01 6.304E-02 
2.750E+00 9.279E+01 5.789E-02 
3.000E+00 8.720E+01 5.355E-02 
3.500E+00 7.803E+01 4.662E-02 
4.000E+00 7.078E+01 4.133E-02 
4.500E+00 6.490E+01 3.715E-02 
5.000E+00 6.002E+01 3.376E-02 
5.500E+00 5.590E+01 3.096E-02 
6.000E+00 5.236E+01 2.860E-02 
6.500E+00 4.928E+01 2.658E-02 
7.000E+00 4.658E+01 2.484E-02 
7.500E+00 4.419E+01 2.332E-02 
8.000E+00 4.206E+01 2.198E-02 
8.500E+00 4.015E+01 2.079E-02 
9.000E+00 3.842E+01 1.973E-02 
9.500E+00 3.684E+01 1.877E-02 
1.000E+01 3.541E+01 1.790E-02 
1.250E+01 2.976E+01 1.457E-02 
1.500E+01 2.579E+01 1.230E-02 
1.750E+01 2.284E+01 1.066E-02 
2.000E+01 2.055E+01 9.410E-03 
2.500E+01 1.722E+01 7.638E-03 
2.750E+01 1.597E+01 6.986E-03 
3.000E+01 1.491E+01 6.438E-03 
3.500E+01 1.320E+01 5.570E-03 
4.000E+01 1.188E+01 4.912E-03 
4.500E+01 1.083E+01 4.397E-03 
5.000E+01 9.973E+00 3.981E-03 
5.500E+01 9.261E+00 3.638E-03 
6.000E+01 8.658E+00 3.351E-03 
6.500E+01 8.141E+00 3.107E-03 
7.000E+01 7.693E+00 2.897E-03 
7.500E+01 7.300E+00 2.714E-03 
8.000E+01 6.953E+00 2.553E-03 
8.500E+01 6.644E+00 2.410E-03 
9.000E+01 6.367E+00 2.283E-03 
9.500E+01 6.118E+00 2.169E-03 
1.000E+02 5.891E+00 2.066E-03 
1.250E+02 5.016E+00 1.672E-03 
1.500E+02 4.419E+00 1.407E-03 
1.750E+02 3.985E+00 1.215E-03 
2.000E+02 3.656E+00 1.071E-03 
2.250E+02 3.397E+00 9.574E-04 
2.500E+02 3.189E+00 8.662E-04 
2.750E+02 3.018E+00 7.913E-04 
3.000E+02 2.875E+00 7.286E-04 
3.500E+02 2.650E+00 6.294E-04 
