PSTAR: Stopping Powers and Range Tables for Protons

SILICON                                                                 

Kinetic   Electron. Nuclear   
Energy    Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g 

1.000E-03 1.050E+02 1.188E+01 
1.500E-03 1.286E+02 1.072E+01 
2.000E-03 1.485E+02 9.792E+00 
2.500E-03 1.660E+02 9.040E+00 
3.000E-03 1.818E+02 8.416E+00 
4.000E-03 2.100E+02 7.436E+00 
5.000E-03 2.348E+02 6.695E+00 
6.000E-03 2.572E+02 6.111E+00 
7.000E-03 2.778E+02 5.636E+00 
8.000E-03 2.969E+02 5.240E+00 
9.000E-03 3.150E+02 4.905E+00 
1.000E-02 3.320E+02 4.615E+00 
1.250E-02 3.646E+02 4.039E+00 
1.500E-02 3.925E+02 3.607E+00 
1.750E-02 4.167E+02 3.267E+00 
2.000E-02 4.378E+02 2.993E+00 
2.250E-02 4.563E+02 2.767E+00 
2.500E-02 4.725E+02 2.576E+00 
2.750E-02 4.866E+02 2.412E+00 
3.000E-02 4.989E+02 2.270E+00 
3.500E-02 5.184E+02 2.036E+00 
4.000E-02 5.323E+02 1.849E+00 
4.500E-02 5.416E+02 1.697E+00 
5.000E-02 5.470E+02 1.571E+00 
5.500E-02 5.492E+02 1.463E+00 
6.000E-02 5.490E+02 1.371E+00 
6.500E-02 5.468E+02 1.290E+00 
7.000E-02 5.430E+02 1.220E+00 
7.500E-02 5.380E+02 1.157E+00 
8.000E-02 5.322E+02 1.101E+00 
8.500E-02 5.257E+02 1.051E+00 
9.000E-02 5.188E+02 1.005E+00 
9.500E-02 5.117E+02 9.640E-01 
1.000E-01 5.044E+02 9.262E-01 
1.250E-01 4.687E+02 7.770E-01 
1.500E-01 4.373E+02 6.720E-01 
1.750E-01 4.107E+02 5.937E-01 
2.000E-01 3.884E+02 5.329E-01 
2.250E-01 3.694E+02 4.842E-01 
2.500E-01 3.530E+02 4.442E-01 
2.750E-01 3.387E+02 4.107E-01 
3.000E-01 3.259E+02 3.823E-01 
3.500E-01 3.041E+02 3.364E-01 
4.000E-01 2.859E+02 3.010E-01 
4.500E-01 2.703E+02 2.728E-01 
5.000E-01 2.567E+02 2.497E-01 
5.500E-01 2.452E+02 2.304E-01 
6.000E-01 2.351E+02 2.141E-01 
6.500E-01 2.259E+02 2.001E-01 
7.000E-01 2.172E+02 1.879E-01 
7.500E-01 2.090E+02 1.772E-01 
8.000E-01 2.011E+02 1.677E-01 
8.500E-01 1.936E+02 1.592E-01 
9.000E-01 1.870E+02 1.516E-01 
9.500E-01 1.809E+02 1.448E-01 
1.000E+00 1.753E+02 1.385E-01 
1.250E+00 1.523E+02 1.143E-01 
1.500E+00 1.354E+02 9.761E-02 
1.750E+00 1.222E+02 8.532E-02 
2.000E+00 1.117E+02 7.590E-02 
2.250E+00 1.030E+02 6.843E-02 
2.500E+00 9.580E+01 6.236E-02 
2.750E+00 8.962E+01 5.733E-02 
3.000E+00 8.428E+01 5.307E-02 
3.500E+00 7.550E+01 4.628E-02 
4.000E+00 6.856E+01 4.109E-02 
4.500E+00 6.292E+01 3.699E-02 
5.000E+00 5.824E+01 3.366E-02 
5.500E+00 5.428E+01 3.089E-02 
6.000E+00 5.088E+01 2.857E-02 
6.500E+00 4.792E+01 2.658E-02 
7.000E+00 4.533E+01 2.486E-02 
7.500E+00 4.304E+01 2.335E-02 
8.000E+00 4.099E+01 2.203E-02 
8.500E+00 3.914E+01 2.085E-02 
9.000E+00 3.748E+01 1.979E-02 
9.500E+00 3.596E+01 1.884E-02 
1.000E+01 3.458E+01 1.798E-02 
1.250E+01 2.912E+01 1.466E-02 
1.500E+01 2.528E+01 1.240E-02 
1.750E+01 2.242E+01 1.076E-02 
2.000E+01 2.019E+01 9.513E-03 
2.500E+01 1.695E+01 7.736E-03 
2.750E+01 1.572E+01 7.080E-03 
3.000E+01 1.469E+01 6.529E-03 
3.500E+01 1.301E+01 5.654E-03 
4.000E+01 1.172E+01 4.991E-03 
4.500E+01 1.069E+01 4.469E-03 
5.000E+01 9.852E+00 4.049E-03 
5.500E+01 9.153E+00 3.702E-03 
6.000E+01 8.561E+00 3.411E-03 
6.500E+01 8.052E+00 3.164E-03 
7.000E+01 7.611E+00 2.951E-03 
7.500E+01 7.225E+00 2.765E-03 
8.000E+01 6.883E+00 2.602E-03 
8.500E+01 6.578E+00 2.457E-03 
9.000E+01 6.305E+00 2.328E-03 
9.500E+01 6.059E+00 2.212E-03 
1.000E+02 5.836E+00 2.108E-03 
1.250E+02 4.972E+00 1.707E-03 
1.500E+02 4.382E+00 1.436E-03 
1.750E+02 3.953E+00 1.241E-03 
2.000E+02 3.627E+00 1.094E-03 
2.250E+02 3.370E+00 9.782E-04 
2.500E+02 3.164E+00 8.852E-04 
2.750E+02 2.994E+00 8.088E-04 
3.000E+02 2.852E+00 7.447E-04 
3.500E+02 2.629E+00 6.435E-04 
4.000E+02 2.462E+00 5.670E-04 
